平井駅前,35.706705,139.842242,小松川区民館前,35.70259,139.847357,1050,1,35.706708,139.845066,,,45,1033,nan
一口坂,35.692447,139.740553,九段上,35.694133,139.745619,490,1,35.693269,139.743222,,,46,495,0.5685680518226217
太平二丁目,35.700986,139.812788,石原四丁目,35.700639,139.806659,560,1,35.700877,139.810438,,,47,555,1.026682090452784
江古田一丁目,35.72376,139.67173,江古田三丁目,35.725906,139.66773,790,1,35.723836,139.66651,,,48,767,nan
豊洲四丁目,35.655949,139.798425,塩浜一丁目,35.659854,139.800614,650,1,35.657926,139.80133,,,49,650,0.3858678829816096
通り三丁目,35.679398,139.770868,東京駅八重洲口,35.679427,139.768616,270,0,,,,,50,268,nan
武蔵大学前,35.737596,139.668229,練馬駅,35.738532,139.653981,1500,1,35.738301,139.664019,,,51,1468,-0.9487554050507684
千駄ヶ谷小学校前,35.675218,139.706851,表参道,35.668855,139.705774,780,1,35.67066,139.707096,,,52,790,0.36018050812219987
晴海区民館前,35.656248,139.78361,勝どき駅前,35.658615,139.778218,700,1,35.655812,139.780929,,,53,711,0.27772188322133856
国際展示場駅入口,35.633578,139.793947,がん研有明病院前,35.633504,139.794422,680,1,35.633524,139.791621,,,54,692,0.5218580812779222
新宿駅西口,35.691869,139.698739,新宿伊勢丹前,35.691691,139.705245,1150,1,35.692446,139.701215,,,55,1176,-0.5661612528059726
春江町四丁目,35.682855,139.874778,一之江五丁目,35.690361,139.878561,950,1,35.687236,139.877141,,,56,945,nan
新宿一丁目北,35.691354,139.710568,歌舞伎町,35.693269,139.701917,810,1,35.69274,139.704155,,,57,810,nan
八丁堀二丁目,35.677646,139.775934,新川,35.675847,139.780264,570,1,35.677169,139.777156,,,58,442,-0.18880850846884115
三角,35.675554,139.871298,葛西中学校前,35.671341,139.872217,380,1,35.673057,139.871979,,,59,474,nan
西早稲田,35.709395,139.715999,学習院女子大学前,35.707734,139.709138,1000,1,35.710806,139.709921,,,60,1023,0.3718684231253668
西落合一丁目,35.723376,139.679073,南長崎三丁目,35.722886,139.686542,700,1,35.722593,139.683051,,,61,699,nan
今井児童交通公園前,35.680789,139.887148,一之江駅前,35.686136,139.883631,950,1,35.682661,139.888524,,,62,958,0.2649121894829522
越中島,35.669547,139.791413,門前仲町,35.673019,139.795058,500,0,,,,,63,513,nan
東京海洋大学越中島校舎前,35.667281,139.793594,門前仲町,35.673019,139.795058,850,1,35.669547,139.791413,,,64,874,nan
早大理工前,35.7064,139.708728,新宿スポーツセンター入口,35.708608,139.706068,520,1,35.707471,139.708872,,,65,508,0.03489346868704494
東新宿駅前,35.697224,139.707475,新宿五丁目,35.692737,139.704143,700,1,35.695465,139.707145,,,66,712,-0.6317037157220239
聖母病院入口,35.721932,139.695055,南長崎二丁目,35.722782,139.68888,570,1,35.72234,139.693861,,,67,573,nan
渋谷駅東口,35.660281,139.702188,神宮前六丁目,35.665678,139.703172,600,1,35.664052,139.702156,,,68,622,0.1422735864122087
新宿コズミックセンター前,35.703829,139.708625,東新宿駅前,35.697963,139.707994,700,1,35.701422,139.708182,,,69,700,0.2028609148688934
南長崎六丁目,35.731338,139.677969,江古田二又,35.73630679,139.672284,770,1,35.732894,139.676461,,,70,765,1.4091872120108766
目白駅前,35.721976,139.706154,千登世橋,35.720833,139.712726,950,1,35.720035,139.710851,,,71,926,nan
東京ビッグサイト,35.630046,139.793215,国際展示場駅入口,35.633578,139.793947,670,1,35.631857,139.794131,,,72,665,0.9146157054519404
市ヶ谷富久町,35.691091,139.71716,新宿一丁目北,35.691354,139.710568,590,1,35.691112,139.712775,,,73,599,0.684700676486869
下落合四丁目,35.721873,139.697891,目白五丁目,35.72234,139.693861,370,1,35.721932,139.695055,,,74,373,0.19050885317392266
大塚駅前,35.730947,139.729291,大塚四丁目,35.72421,139.730769,870,1,35.726548,139.729855,,,75,864,0.2670446879699063
春日二丁目,35.712095,139.743597,小日向四丁目,35.716333,139.738718,660,1,35.714401,139.740299,,,76,649,1.2746027438380154
石原二丁目,35.700365,139.800732,本所一丁目,35.703008,139.796829,620,1,35.700211,139.798264,,,77,640,0.08612414666028571
東上野一丁目,35.707179,139.779594,上野広小路,35.708013,139.772262,690,1,35.707676,139.775432,,,78,669,-0.3408249344864818
目白警察署前,35.719874,139.711001,下落合三丁目,35.722498,139.702577,850,1,35.721576,139.70666,,,79,835,nan
下落合三丁目,35.722498,139.702577,聖母病院入口,35.721932,139.695055,700,1,35.721873,139.697891,,,80,683,nan
葛西駅前,35.663256,139.872875,葛西中学校前,35.670629,139.871979,1050,1,35.666771,139.873102,,,81,949,nan
市谷仲之町交差点,35.694906,139.724901,市ヶ谷富久町,35.691091,139.71716,900,1,35.69208,139.720904,,,82,906,-0.3052491418306006
辰巳団地,35.648944,139.811935,辰巳橋,35.650136,139.807307,590,1,35.65041,139.810463,,,83,590,0.42441508525151334
門前仲町,35.673189,139.793379,東京海洋大学越中島校舎前,35.66722,139.793349,960,1,35.668708,139.791881,,,84,953,0.4841263199530188
上野広小路,35.708013,139.772262,湯島四丁目,35.707363,139.7645,710,1,35.708138,139.769394,,,85,725,0.2210884567445998
小台土手上,35.755957,139.768822,桜木土手上,35.754977,139.778969,900,1,35.754952,139.774911,,,86,924,2.5860312217670107
都立三商前,35.664363,139.796744,越中島,35.669547,139.791413,800,1,35.667281,139.793594,,,87,788,1.110545922631711
新小岩駅前,35.716366,139.858269,松島三丁目,35.712522,139.864275,750,1,35.714608,139.862006,,,88,772,0.2831382108055348
南池袋一丁目,35.723651,139.711705,目白警察署前,35.719874,139.711001,800,1,35.720883,139.712906,,,89,757,nan
学習院女子大学前,35.709029,139.709169,西早稲田,35.709611,139.715821,850,1,35.711356,139.71078,,,90,857,0.5428167060829421
春海橋,35.658852,139.79077,晴海区民館前,35.656248,139.78361,730,1,35.657838,139.786003,,,91,743,1.6223055572708214
晴海一丁目,35.657988,139.785423,ＩＨＩ前,35.658677,139.79277,720,1,35.659069,139.790653,,,92,715,0.3224828540351926
築地七丁目,35.665259,139.776201,勝どき駅前,35.658663,139.778449,980,1,35.660615,139.776576,,,93,973,0.6416674075327119
江古田一丁目,35.72389746,139.6715675,西落合一丁目,35.723376,139.679073,640,1,35.72369,139.675985,,,94,692,nan
豊洲一丁目,35.659894,139.793222,豊洲二丁目,35.656274,139.795092,540,1,35.658677,139.79277,,,95,527,0.6718253907634034
高田一丁目,35.717361,139.717037,目白台三丁目,35.715206,139.724495,700,1,35.716123,139.720226,,,96,721,1.0760327901384787
一之江五丁目,35.690361,139.878561,西一之江四丁目,35.694042,139.873692,600,1,35.69193,139.876533,,,97,599,0.7485933578944407
