1,1
2,5
3,3
4,2
6,5
8,1
9,6
10,2
11,5
14,5
15,1
17,5
18,5
19,1
20,2
21,5
22,5
23,1
24,5
25,2
26,1
27,0
29,1
31,2
32,1
33,1
34,1
36,5
37,1
38,2
39,2
40,2
41,1
42,6
44,1
46,5
47,1
49,5
51,7
52,6
53,5
54,5
55,4
58,2
60,5
62,5
65,2
66,0
68,2
69,2
70,1
72,1
73,5
74,6
75,5
76,1
77,2
78,2
82,2
83,5
84,5
85,2
86,3
87,1
88,0
90,5
91,1
92,5
93,5
95,5
96,1
97,5
98,3
99,1
100,3
101,2
102,5
104,5
106,2
107,5
110,5
111,1
112,1
113,1
114,2
116,5
117,6
118,3
119,7
120,2
121,2
123,2
124,5
125,4
126,5
127,6
129,6
130,5
131,1
132,3
133,2
134,5
135,5
137,5
139,2
141,2
142,2
143,3
144,5
146,5
147,5
148,5
149,3
150,2
152,1
154,3
155,2
156,5
157,2
158,2
160,2
162,5
163,5
164,7
166,5
167,3
168,7
169,7
171,5
172,2
174,5
175,5
176,5
177,0
178,2
179,5
180,3
181,3
182,2
184,5
185,5
186,1
187,5
188,5
189,2
191,5
192,5
193,7
194,2
196,2
197,1
198,2
199,5
201,5
202,2
203,1
204,5
205,5
206,5
207,1
208,2
209,2
210,2
211,2
212,5
213,1
214,5
215,1
216,5
217,1
218,2
219,2
220,3
221,1
222,1
223,0
224,4
225,5
226,5
227,1
228,5
229,1
230,0
231,2
233,2
234,5
235,2
236,2
237,1
238,0
239,5
240,1
241,5
242,2
243,0
244,5
245,2
246,2
247,0
248,2
249,5
250,0
251,2
252,1
254,7
255,1
256,2
257,5
258,5
259,1
260,5
261,2
262,5
263,5
264,5
266,5
267,5
268,2
270,2
272,1
273,2
275,7
277,1
278,1
280,2
281,3
282,3
284,3
285,1
286,2
287,2
